Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
510,KAB 1818,THIRD HARMONIC,,31mH,29,single,,,,,,Cont,AN,B,,104,,150,one,one,104,L-R,26,4,15 SWG Cu,S.E,one,0.6,std bobbin suitable for Type 16 Sq.stack,44x44,63x63,52,9.5,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,4,Type 16 SQ.stack,-,-,51,96,2.5,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 387,28.03.2000
511,KAB 1817,MAIN,,,230,single,,230,single,2,,Cont,AN,B,,156/156,1.47,50,"2 Sy, 2 Py","one, one","78, 78","L-R, L-R","39, 39","2, 2","12 SWG Cu, 12 SWG Cu","SE, SE","one, one","3.4, 5.2","(1)ID:72x110, OD:78x116(2)72x60,OD:78x66-120 long F/G-2 each","79x117, 93x208","91x129, 105(115)x220(230)","110(120),110(120)","6, 6","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",*(1)10 thick F/G duct between Sy wdg & bobbin of Py wdg. (2) 6 mil polyester film+6 mil class -F insulating material (through out),20,70x80,140,140,41,96,4.2,,60 W,90 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336-2 Nos,GA 105 009 878-P2,26.02.2000
512,KAB 1817,MAIN,,,230,single,,230,single,2,,Cont,AN,B,,156/156,1.47,50,"2 Sy, 2 Py","one, one","78, 78","L-R, L-R","39, 39","2, 2","12 SWG Cu, 12 SWG Cu","SE, SE","one, one","3.4, 5.2","(1)ID:72x110, OD:78x116(2)72x60,OD:78x66-120 long F/G-2 each","79x117, 93x208","91x129, 105(115)x220(230)","110(120),110(120)","6, 6","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",*(1)10 thick F/G duct between Sy wdg & bobbin of Py wdg. (2) 6 mil polyester film+6 mil class -F insulating material (through out),20,70x80,140,140,41,96,4.2,,60 W,90 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336-2 Nos,GA 105 009 878-P2,26.02.2000
513,KAB 1816,SYNCHRONISING,,,230-400,single,,17.5x2 Nos,single,7,,Cont,AN,A,,2760/4800/210x2 Nos,0.083,50,"1Py, 2 Sy","1, 1","4800,210 each","L-R, L-R","219, 70(each)","22,3 (each)","40 SWG Cu, 28 SWG Cu(each)","S.E, S.E","one,one","75 gm, 85 gm",Std Backelite bobbin suitable for Type 15 SQ.stack,"30x30, 40x40","39x39, 48x48","33, 33","4.5, 4","2 mil presspham paper, 3 mil polyester film",-,-,-,-,-,-,"at 2760, -","7/0.2 pvc wire, 7/0.2 pvc wire",10 mil presspham paper +6 mil polyester film,0.5,Type 15 SQ.stack,-,-,51 CRGO,96,0.75,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 200 336-4 Nos ,205 603 113,105 009 380,21.01.2000
514,KAB 1816,SYNCHRONISING,,,230-400,single,,17.5x2 Nos,single,7,,Cont,AN,A,,2760/4800/210x2 Nos,0.083,50,"1Py, 2 Sy","1, 1","4800,210 each","L-R, L-R","219, 70(each)","22,3 (each)","40 SWG Cu, 28 SWG Cu(each)","S.E, S.E","one,one","75 gm, 85 gm",Std Backelite bobbin suitable for Type 15 SQ.stack,"30x30, 40x40","39x39, 48x48","33, 33","4.5, 4","2 mil presspham paper, 3 mil polyester film",-,-,-,-,-,-,"at 2760, -","7/0.2 pvc wire, 7/0.2 pvc wire",10 mil presspham paper +6 mil polyester film,0.5,Type 15 SQ.stack,-,-,51 CRGO,96,0.75,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 336-4 Nos ,205 603 113,105 009 380,21.01.2000
515,KAB 1815,INVERTER,,,79,single,,230,single,1.68,,Cont,AN,B,,56/162,1.42,50,"2 Sy, 2 Py","one, one","81, 58","L-R, L-R","40 1/2, 14","2, 2","13 SWG Cu, 11 SWG Cu","SE, SE","one, 2 SS","2.7, 4.6","(1)ID:72x110, OD:78x116(2)ID:72x60,OD 78x66-120 long F/G 2 Nos each","79x117,93x208","91x129, 105(115)x221(230)","105(120), 95(120)","6, 6.5","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",*(1) 10 thick F/G duct between Sy wdg & bobbin of Py wdg(2) 6  mil polyester film+6 mil class F insulating material (through out),20,70x80,140,140,41,96,42,,60 W,75 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336x2 Nos,GA 105 009 878 P2,19.02.2000
516,KAB 1815,INVERTER,,,79,single,,230,single,1.68,,Cont,AN,B,,56/162,1.42,50,"2 Sy, 2 Py","one, one","81, 58","L-R, L-R","40 1/2, 14","2, 2","13 SWG Cu, 11 SWG Cu","SE, SE","one, 2 SS","2.7, 4.6","(1)ID:72x110, OD:78x116(2)ID:72x60,OD 78x66-120 long F/G 2 Nos each","79x117,93x208","91x129, 105(115)x221(230)","105(120), 95(120)","6, 6.5","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",*(1) 10 thick F/G duct between Sy wdg & bobbin of Py wdg(2) 6  mil polyester film+6 mil class F insulating material (through out),20,70x80,140,140,41,96,42,,60 W,75 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336x2 Nos,GA 105 009 878 P2,19.02.2000
517,KAB 1814,CHARGER,,,230,single,,161,single,11.27,,Cont,AN,B,,86/60,2.67,50,"2 Py, 2 Sy","one, one","43, 30","L-R, L-R","14 1/3, 15","3, 2","10x3 Cu, 10x4 Cu","F/G, F/G","one, one","14.5, 17.5","ID:72x170, OD:84x182-6 thick F/G-2 Nos","85x183, 135x233","123x221,157(167)x255(265)","172(190), 176(190)","19, 11","6 thick F/G duct between 1st & 2nd layer, 6 mil polyester film between 2nd& 3rd layer, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",6 thick F/G duct,35,70x140,210,210,41,96,74,,100 W,275 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,105 009 796 P4,205 603 841x2 Nos,105 009 796 P4,12.02.2000
518,KAB 1814,CHARGER,,,230,single,,161,single,11.27,,Cont,AN,B,,86/60,2.67,50,"2 Py, 2 Sy","one, one","43, 30","L-R, L-R","14 1/3, 15","3, 2","10x3 Cu, 10x4 Cu","F/G, F/G","one, one","14.5, 17.5","ID:72x170, OD:84x182-6 thick F/G-2 Nos","85x183, 135x233","123x221,157(167)x255(265)","172(190), 176(190)","19, 11","6 thick F/G duct between 1st & 2nd layer, 6 mil polyester film between 2nd& 3rd layer, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",6 thick F/G duct,35,70x140,210,210,41,96,74,,100 W,275 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,105 009 796 P4,205 603 841x2 Nos,105 009 796 P4,12.02.2000
519,KAB 1813,INPUT,,,240,single,,52,single,3.4,,Cont,AN,B,,156/34,1.54,50,"2 Py, 2 Sy","one, one","78, 17","L-R, L-R","26, 8 1/2","3, 2","13 SWG Cu, 12x3 Cu","S.E, F/G","2 SS, one","5.5, 6","ID:72x110,OD:78x116-190 long F/G -2 Nos","79x117, 108x146","96x134, 125(130)x163(168)","135(190), 130(190)","8.5, 8.5","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",6 mm thick F/G duct,10,70x80,140,210,41,96,36,,60 W,150 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,105 009 885 P6,205 603 336x2 Nos,GA 105 009 885 P6,11/2/2000
520,KAB 1813,INPUT,,,240,single,,52,single,3.4,,Cont,AN,B,,156/34,1.54,50,"2 Py, 2 Sy","one, one","78, 17","L-R, L-R","26, 8 1/2","3, 2","13 SWG Cu, 12x3 Cu","S.E, F/G","2 SS, one","5.5, 6","ID:72x110,OD:78x116-190 long F/G -2 Nos","79x117, 108x146","96x134, 125(130)x163(168)","135(190), 130(190)","8.5, 8.5","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",6 mm thick F/G duct,10,70x80,140,210,41,96,36,,60 W,150 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,105 009 885 P6,205 603 336x2 Nos,GA 105 009 885 P6,11/2/2000
521,KAB 1812,INPUT,,,240,single,,41,single,5.72,,Cont,AN,B,,156/34,1.54,50,"2 Py, 2 Sy","one, one","78, 17","L-R, L-R","39,17","2, 1","12 SWG Cu, 10x3 Cu","S.E, F/G","2 SS, 2ab","6.5, 10","ID:72x110,OD:78x116-260 long F/G -2 Nos","79x117, 106x144","93x131, 122(126)x160(165)",,"7,8","9 mil polyester film,-",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",6 mm thick F/G duct,12,70x80,140,280,41,96,42,,70 W,170 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,105 009 885 P5,205 603 336x2 Nos,GA 105 009 885 P5,22.01.2000
522,KAB 1811,AUTO,,,415,3 Ph  Star,,254,3 Ph  Star,40,,Cont,AN,B,,35-90,2.66,50,3,one,90,L-R,30,3,8x4 Cu,F/G covered,one,48.5,"ED 1590-P37-3 Nos,F/G",79x177,123(133)x221(235),279(310),22,"6 mm F/G duct between 1st & 2nd layer, 9 mil poly film-between 2nd & 3rd layer",-,-,-,10,-,Star at Finish,at35,Same conductor,-,15,70x140,150,330,41,96,129.5,ED 2162-P2(A),175 W,425 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 11171,,,105 009 802 P7,24.11.1999
523,KAB 1810,D.C.FILTER,,0.75mH,130,single,,,,,,Cont,AN,B,,14+14=28,,300,2,1,14,L-R,1,14,0.5x305 Al.foil,"Bare Al. Electrolytic grade,Annealed IS 737",2 ab,12 Kg,"ID:72x120, OD:78x126-325 long F/G -2 Nos",79x127,115(118)x163(180),325,18,3 mil polyester film,-,-,-,12.5,-,Series at Finish,-,120 mm² Cu.cable,-,22,70x90,140,350,41 CRGO,96,55,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 883 P2,23.10.1999
524,KAB 1809,AUTO,,,415,3 Ph  Star,,255,3 Ph  Star,79,,Cont,AN,B,,33 1/2-87,2.76,50,3,one,87,L-R,one,87,0.2x305 Cu.foil,"Bare , Electrolytic grade,Annealed as per IS 3052-1986",one,89 Kg,ED 1590-P1-F/G -3 Nos,110x138,166(170)x194(210),319,28,3 mil polyester film,-,-,-,5.5,-,Star at Finish,at 33 1/2,100 mm²  pvc insulated Cu.cable,-,12,100x100,185,330,41 CRGO,96,149,ED 2066-P5,190 W,900 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 11171,,,105 009 884 P3,15.10.1999
525,KAB 1808,INVERTER,,,168,3 Ph  (seprated leads),,135+135,3 Ph  Zig-Zag,48,,Cont,AN,B,,51/41+41,3.29,50,"3 Sy1,3 SyII, 3Py","1, 1, 1","41, 41, 51","L-R, L-R, L-R","1, 1, 1","41, 41, 51","0.5x305 Al.foil,0.5x305,0.5x305","Bare Al. Electrolytic grade,Annealed IS 737","one, one,one",0.5x305?152 kg,"(1)ID:102x145,OD:108x151(2)ID:102x56,OD 108x62-319 long F/G 3 Nos each","110x153, 162x205, 214x327","161x204, 213x256, 278(282)x391(450)","319, 319, 319","25.5, 25.5, 32","3 mil poly.film, 3mil, 3mil",-,-,-,"3,3,3",-,"Zig-Zag connection,Seprate leads",-,50 mm²  pvc insulated Cu.cable,6 mil poly.film+2 layers of 0.15 mm thick class-'F' insulation 6 thick F/G duct b etween SyII & Py wdg on one narrow end only,12,100x115,295,325,41 CRGO,96,287,ED 1605-P2,375 w,1000 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 805 P6,13.10.1999
526,KAB 1807,POWER SUPPLY,,,180-200-210-230,single,,48,single,240,,Cont,AN,A,,258-287-302-330/69,0.7,50,"1 Py, 1 Sy","1,1","330, 69","L-R, L-R","56, 27","6, 3","21 SWG Cu, 16 SWG Cu","Se, SE","one, one","0.4, 0.45","Type 16, 2 1/2"" stack Bakelite bobbin","72x68, 58x84","57x83, 70x96","52, 52","7.58, 6","3 mil poly.film, 3 mil poly.film",-,-,-,-,-,-,"at 258, 287, 302,-","Same conductor, Same conductor",6 mil polyester film,0.5mm,"Type 16, 2 1/2"" stack",-,-,51 CRGO,96,4.1,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 200 337(A),,105 009 387,30.06.1999
527,KAB 1806,SERIES,,17.5mH,60,single,,,,,,Cont,AN,B,,115,,60,one,one,115,L-R,24,5,12 SWG Cu,SE,one,1.7,"Type 43 SQ,stack std bobbin",57x57,91(93)x91(93),68,17,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,2mm,"Type 43,Sq.stack",-,-,41,96,5.7,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,SK 3008-4 Nos,201 500 314-1 No,105 009 375,17.04.1999
528,KAB 1805,INVERTER,,,51,single,,115,single,1,,Cont,AN,B,,73/165,0.698,60,"1 Sy, 1 Py","1, 1","165, 73","L-R, L-R","38, 20","5, 4","12 SWG Cu, 4x3 Cu","SE, F/G","one, one","2.5, 3.3","Standard Type 8,Sq stack bobbin","58x58, 89x89","88x88, 125(126)x 125(126)","110, 110","15, 18","6 mil poly.fim, 6 mil poly.film",-,-,-,-,-,-,-,Same conductor with suityable tag,20 mil sil.var.F/G +6 mil poly.film,1mm,Type 8 SQ stack,-,-,51 CRGO,96,8,Std,12 W,50 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 008 622,205 603 337-2 Nos,105 009 400,16.04.1999
529,KAB 1804,D.C.FILTER,,2mH,40,single,,,,,,Cont,AN,B,,45,,100,one,one,45,L-R,18,3,12 SWG Cu,SE,one,0.6,"Standard Type 16,2 1/2"" stack bobbin",42x68,62(64)x88(90),52,10,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,2mm,"Type 1, 2 1/2"" stack",-,-,51 CRGO,96,4.1,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),205 600 534(A),,12.04.1999
530,KAB 1803,MAIN,,,380-415,single,,133,single,1.25,,Cont,AN,B,,386/124,1.07,50,"1 Py, 1 Sy","one, one","386, 124","L-R, L-R","59, 37","7, 4","16 SWG Cu, 12 SWG Cu","S.E,S.E","one, one","2.5, 2.8","Standard Type 8,3"" stack bobbin","58x84, 90x116","88x114, 120(122)x146(148)","110, 110","15, 15","6 mil poly.film, 6 mil poly.film",-,-,-,-,-,-,"at 354, -",Same conductor with suitable tag,20 mil sil.var.F/G +6 mil poly.film,2 mm,"Type 8,3""stack",-,-,51 CRGO,96,12,Std,15 W,50 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 008 622,205 603 337-2 Nos,105 009 403,
531,KAB 1802,D.C.FILTER,,1mH,,single,,,,,,Cont,AN,B,,40,,100,one,one,40,L-R,11,4,8x3 Cu,F/G ,1,3.3,"Type 8,3"" stack, std bobbin",58x84,98x124,112,20,10 mil F/G,-,-,-,-,-,-,-,-,-,12,"Type 8,3""stack",-,-,51,96,12,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,SK 209,205 603 337-1 No,105 009 403,12.02.1999
532,KAB 1801,MAIN,,,415,single,,15,single,1.3,,Cont,AN,B,,386/14,1.07,50,"1 Py, 1 Sy","1,1","386,14","L-R, L-R","61, 4.66","7, 3","16 SWG Cu, 8x3 Cu","SE, F/G","one, 2 SS","2.5, 2.8","Standard Type 8, 3""stack bobbin","58x84, 88x114","86x112,118(120)x144(146)","110, 110","14, 15","6 mil poly.film, 6 mil poly.film",-,-,-,-,-,-,-,Same conductor with suitable tag Same conductor with terminal bus link,20 mil F/G cloth+6 mil poly.film,2mm,"Type 8,3"" stack",-,-,51 CRGO,96,12.1,Std,15 W,50 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,SK 209,205 603 337-2 No,105 009 403,12.02.1999
533,KAB 1800,D.C.FILTER,,2mH,,single,,,,,,Cont,AN,B,,25+25=50,,300,2,one,25,L-R,one,25,0.5x305,"Bare al.foil, Electrolytic grade,Annealed,Is 737",one,9,"ID 72x100,OD 78x106,325 long,F/G 2 Nos",79x107,123(1280x151(170),325,22,3 mil poly film-6mm F/G duct between 12 & 13 turns,-,-,-,12.5,-,Series at start,-,75mm²  pvc Cu.cable,-,12 mm,70x70,140,350,41,96,43,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 885 P4,28.01.1999
534,KAB 1799,3rd Harmonic,,3.04mH,,single,,,,,,Cont,AN,B,,36+36=72,,50,2,one,36,L-R,18,2,7x3 Cu,F/G,one,6,"ID:72x95,OD:78x101-190 long-F/G 2 Nos",79x102,109(115)x132(137),152(190),15,6 mm thick F/G duct,-,-,-,10,-,Series at Fh,-,Same conductor,-,25 mm,70x65,140,210,41,96,29,ED 1691,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 885 P2,23.01.1999
535,KAB 1798,SHUNT,,16mH,,single,,,,,,Cont,AN,B,,70+70=140,,50,2,1,70,L-R,35,2,7x3 Cu,F/G,2 ab,33,ED 1590-P36-F/G 2 Nos,109x147,171(180)x209(218),288(315),31,10 mm thick F/G duct,-,-,-,7.5,-,Series at Fh,-,Same conductor,-,20,100x110,200,330,41,96,105 ED 2068-P2(B),,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 874 P2,04.02.1999
536,KAB 1797,3rd Harmonic,,1.7mH,,single,,,,,,Cont,AN,B,,24+24=48,,50,2,1,24,L-R,12,2,10 SWG,S.E(polyester based),2 Ss,3.2 kg,"ID:72x80, OD:78x86-120 long F/G 2 Nos",79x87,109(115)x117(123),90(120),15,6 mm F/G duct,-,-,-,10,-,Series at Fh,-,Same conductor,-,25,70x50,140,140,41,96,18.7,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 885-P3,22.01.1999
537,KAB 1796,INPUT,,,415,single,,240-382,single,,,Cont,AN,B,,128/74-118,36.24,50,"2 Sy, 2 Py","one, one","59, 64","L-R, L-R","one, one","59, 64","0.2x305, 0.2x305","Bare Al. Electrolytic grade,Annealed as per IS 737","2ab, one","28, 28","ED 1590-P32-2 Nos, P33-2 Nos-F/G","109x157, 221x340","199x247, 293(300)x412(450)","319, 319","45, 36","3 mil poly.film -6 mm F/G duct between 18& 19, 38&39 turns, 3 mil poly.film 6 mm F/G duct between 20 &21,40&41 turns",-,-,-,"3, 3",-,"series at start, Series at start","at 37, -","50 mm²  pvc  Cu.cable,35 mm²  pvc  Cu.cable",10 mm F/G duct-on three sides of sy.wdg,20mm,100x120,290,325,41,96,180,1885-P4,225 W,575 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 879 P3,02.01.1999
538,KAB 1795,INVERTER,,,154,single,,240-382,single,26,,Cont,AN,B,,50/78-124,3.08,50,"2 Sy, 2 Py","one, one","62, 25","L-R, L-R","one, one","62, 25","0.2x305, 0.5x305",Bare Al. foil Annealed Electrolytic IS 737,"2 ab, one","20, 21","ED 1590 -P34-2 Nos, P12-2 Nos-F/G","109x147, 195x321","193x231, 241(245)x367(410)","319, 319","42, 23","3 mil poly.film-6mm F/G duct between 20 &21,40 &41 turns, 3 mil poly.film 6mm F/G duct 12 &13 turns",-,-,-,"3, 3",-,"series at start, Series at start","at 39, -","50 mm²  &,20 mm² Cu.cable, 70 mm² Cu.cable",3 layers of 6 mil class-F insulation-10 mm F/G duct on one narrow end,20 mm,100x110,265,325,41,96,165.5,ED 1885-P5(A),210 W,500 W,,,,,,,,3,3,,,IS 11171,,,105 009 879 P4,09.01.1999
539,KAB 1794,INPUT,,,415,3 Ph  Delta ,,235,3 Ph  Star,46.8,,Cont,AN,B,,92/30,4.51,50,"3 Py, 3 Sy","one, one","92, 30","L-R, L-R","one, one","92, 30","0.2x305, 0.5x305","Bare Al. Electrolytic grade,Annealed  IS 737","one, one","32, 38",ED 1590-P35-3 Nos-F/G,"109x187, 206x284","185x263, 260(265)x338(380)","319, 319","38, 27","3 mil poly film -6mm F/G betwee3n 46&47 turns, 3 mil poly.film -6mm F/G betweeen 15 & 16 turns",-,-,-,"2.5, 2.5",-,"Delta, Star at start",-,"35mm² cu.Cable, 70mm² Cu.cable",10mm F/G duct,20,100x150,280,330,41,96,268,ED 2066-P4,350 W,850 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 884 P2,18.01.1999
540,KAB 1793,CURRENT,,,,single,,,,,,Cont,AN,B,,50,,50,one,one,50,L-R,50,one,21 SWG,S.E,one,30 gms,4 layers of 10mil F/G half lap,42,78,-,1.5,-,-,-,-,-,-,-,-,-,-,-,50x70x15,-,-,51,96,0.21,,,,,,50 DegreeC MAX,80 DegreeC MAX,,,,,,,,IS 2705,,,,24.12.1998
541,KAB 1792,D.C.FILTER,,2mH,,single,,,,,,Cont,AN,B,,28+28=56,,300,2,one,28,L-R,14,2,10x3 Cu,F/G,one,7.5,"ID:72x95, OD:78x101-190 long F/G 2 Nos",79x102,115(120)x138(145),170(190),18,10mm thick F/G duct,-,-,-,10,-,Series at Fh,-,Same conductor,-,15,70x65,140,210,41,96,29,ED 1691,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,,,205 603 3336(1No),105 009 885 P2,24.12.1998
542,KAB 1791,SERIES,,0.26mH,15,single,,,,,,Cont,AN,B,,10+10=20,,50,2,1,10,L-R,10,one,8x3 Cu,F/G covered,2ab,3.75,"ID:72x80,OD:78x86-120 long F/G -2 Nos",79x87,94(100)x103(109),102(120),8,-,-,-,-,10,-,Serires at Fh,-,Same conductor,-,35,70x50,140,140,41,96,18.7,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,,,205 603 336x(1No),105 009 885-P3,23.12.1998
543,KAB 1790,INVERTER,,,44-51,single,,207-230,single,5.06,,Cont,AN,B,,26-30/122-136,1.7,50,"2 Sy, 2 Py","one, one","68, 15","L-R, L-R","34, 15","2, 1","13 SWG Cu, 8x3 Cu","S.E, F/G covered","2 SS, 2 ab","5, 7.3","ID:72x125,OD:78x131-190 long -F/G 2 Nos","79x132, 109x162","97x150, 124(127)x177(185)","180(190), 144(190)","10, 7.5","6 mil poly.film+3 mm F/G duct,-",-,-,-,"10, 10",-,"Series at st, Aeries at st","at 61, at 13","Same conductor, Same conductor",6mm thick F/G duct,13 mm,70x95,140,210,41,96,42,,50 W,200 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336(2 Nos),105 009 885-P1,23.12.1998
544,KAB 1789,CURRENT,,,,single,,,single,4,,Cont,AN,B,,200,,50,1,1,2000,L-R,500(Average),4,29 SWG,S.E,one,225 gms,4 layers of 10mil F/G half lap,62(ID),114(OD),-,4,10 mil F/G,-,-,-,,-,-,-,-,-,-,110x70x25,-,-,51,96,1.1,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 11171,,,,19.06.1998
545,KAB 1787,Input Auto,,,415,3 Ph  Star,,243,3 Ph  Star,44.6,,Cont,AN,B,,37-89,2.69,50,3,one,89,L-R,one,89,0.2x305,"Bare Al. Electrolytic ,Annealed IS 737",2 ab upto 37 turns then one,43,ED 1590-P31-3 Nos,79x177,167(172)x265(290),319,43,3 mil poly.film-6mm F/G duct between 37 &38 turns,-,-,-,2.5,-,Star at Fh,at 37,75mm²  Cu.cable,-,18,70x140,190,330,41,96,141.5,ED 2162-P1,175 W,500 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,,,,105 009 884 P1,15.06.1998
546,KAB 1786,D.C.FILTER,,1.3mH,120,single,,,,,,Cont,AN,B,,30+30=60,,300,2,one,30,L-R,1,30,0.5x305,"Bare Al.foil,Annealed,Electrolytic-IS 737",one,11kG,"id:72X80,od:78X86-325 MM LONG f/g 2 Nos",79x87,121x129(145),319,21,3 mil polyester film,-,-,-,12.5,-,Series at Fh,-,75mm²  Cu.cable,-,18mm,70x50,140,350,41,96,30,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 11171,,,105 009 883 P2,18.06.1998
547,KAB 1785,INVERTER,,,148x2 Nos,single,,110-228-382,single,34.5,,Cont,AN,B,,48x2 Nos/36-74-124,3.08,50,"2 Sy, 2 Py","1, Bifilar","62, 24 Bifilar *","L-R, L-R","1, 1 each","62, 24 Bifilar","0.5x305 upto 18 turns then, 0.2x305","Bare al. Foil,Electrolytic, 0.2x305, Anealed -IS 737","2ab,  one,2 ab","0.5x305?18.5 kg, 0.5x305?51 kg","(1) ED 1590-P32-2 Nos, (2) ED 1590-P33-2 Nos","109x157, 210x329","197x245, 264(270)x383(520)","319, 319","44, 27","3 mil poly.film-6mm F/G duct between 18 &19 turns, 3 mil poly.film between each wdg",-,-,-,"3, 3"," -, Seprate","series at start, Series at start","at 18,37, -","125mm²  Cu.cable,50mm²  Cu.cable",30mil sil.var.F/G +9 mil poly.film-6mm thick F/G duct on narrow end only,20,100x120,290,325,41,96,180,ED 1885-P4,225 W,850 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 879 P2,17.06.1998
548,KAB 1783,D.C.FILTER,,1mH,196,single,44,,,,,Cont,AF,H,,16+16=32,,300,2,one,16,L-R,one,16,(0.5+0.2)x305mm,"Bare Al. Electrolytic ,Annealed IS 737",(1+2)ab =0.9mm,"0.5x305?8kg, 0.5x305?6.5 kg","ID:72x130,OD:78x136mm-325mm long,F/G 2 Nos",79x137,133(138)x191(210),325,27,0.15mm thick class-'H' insulation material provide 6mm thick F/G duct between 8&9 turns,-,-,-,2.5,-,series at start,-,150mm²  Cu.cable,-,10,70x100,150,330,41,96,59,ED 2159-P1(A),,,,,50 DegreeC MAX,115 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 883-P1,
